name,company,year,price,kms_driven,fuel_type,,
ELANTRA GLS SPORT,HYUNDAI,2021,4225000,20000,PETROL,,
SPORTAGE FWD,KIA,2019,4925000,30000,PETROL,,
CITY 1.5 MT,HONDA,2020,2500000,13500,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2015,2750000,68000,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,5600,PETROL,,
YARIS 1.5 MT,TOYOTA,2021,3150000,4000,PETROL,,
CULTUS AGS,SUZUKI,2019,2080000,33000,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2021,9800000,6000,DIESEL,,
CIAZ 1.4 MT,SUZUKI,2020,2400000,13000,PETROL,,
COROLLA GLI,TOYOTA,2019,,17500,PETROL,,
CITY 1.5 ASPIRE,HONDA,2014,2050000,90000,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,5600,PETROL,,
CITY 1.3 MT,HONDA,2019,2400000,42000,PETROL,,
CULTUS VXR,SUZUKI,2020,1875000,17000,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2600000,10000,PETROL,,
REVO V AT,TOYOTA,2019,6900000,24000,DIESEL,,
TUCSON AWD ULTIMATE,HYUNDAI,2021,6400000,3400,PETROL,,
SPORTAGE ALPHA,KIA,2021,4825000,6700,PETROL,,
BRV IVTEC S CVT,HONDA,2021,3620000,9000,PETROL,,
REVO G AT,TOYOTA,2019,6600000,32000,DIESEL,,
ELANTRA GLS ,HYUNDAI,2021,4210000,5600,PETROL,,
COROLLA ALTIS,TOYOTA,2021,3650000,6000,PETROL,,
CIAZ 1.4 AT,SUZUKI,2017,2275000,38000,PETROL,,
YARIS 1.3 AT,TOYOTA,2020,2800000,8000,PETROL,,
CIVIC 1.8 IVTEC,HONDA,2011,2450000,136000,PETROL,,
SPORTAGE AWD,KIA,2019,5375000,46000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2020,5800000,27000,PETROL,,
CULTUS VXR,SUZUKI,2019,1975000,29000,PETROL,,
YARIS 1.5 AT,TOYOTA,2021,3350000,1300,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,10000,PETROL,,
ALTO VXR AGS,SUZUKI,2019,1710000,34000,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2600000,13000,PETROL,,
YARIS 1.5 MT,TOYOTA,2020,3025000,13000,PETROL,,
FORTUNER 2.7,TOYOTA,2019,9250000,25000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4225000,5000,PETROL,,
CULTUS VXL,SUZUKI,2014,1125000,117000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2020,4800000,20000,PETROL,,
ALTO VXR,SUZUKI,2020,1575000,19000,PETROL,,
BRV IVTEC CVT,HONDA,2017,2700000,100000,PETROL,,
PICANTO 1.0 MT,KIA,2020,2075000,14200,PETROL,,
CIAZ 1.4 AT,SUZUKI,2017,2250000,50000,PETROL,,
REVO G MT,TOYOTA,2017,6350000,59000,DIESEL,,
CIAZ 1.4 MT,SUZUKI,2017,2300000,6000,PETROL,,
FORTUNER 2.7,TOYOTA,2018,9425000,23000,PETROL,,
ALTO VXR AGS,SUZUKI,2019,1740000,24700,PETROL,,
BRV IVTEC CVT,HONDA,2021,,8000,PETROL,,
PICANTO 1.0 AT,KIA,2019,2225000,14000,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2021,4150000,4500,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,6000,PETROL,,
CITY 1.3 AT,HONDA,2013,1850000,113000,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2600000,17000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2015,2300000,74000,PETROL,,
ALTO VXR,SUZUKI,2019,1480000,42000,PETROL,,
BRV IVTEC CVT,HONDA,2018,3000000,45000,PETROL,,
FORTUNER 2.7,TOYOTA,2017,8900000,33000,PETROL,,
CIVIC 1.8 UG,HONDA,2019,3875000,38000,PETROL,,
COROLLA GLI,TOYOTA,2020,3150000,18000,PETROL,,
SPORTAGE FWD,KIA,2020,5100000,21000,PETROL,,
COROLLA ALTIS,TOYOTA,2020,3550000,9500,PETROL,,
SPORTAGE FWD,KIA,2020,5120000,18000,PETROL,,
REVO V AT,TOYOTA,2021,7225000,8500,DIESEL,,
CIAZ 1.4 MT,SUZUKI,2017,2175000,80000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2021,6025000,9600,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2021,9175000,10000,DIESEL,,
TUCSON AWD ULTIMATE,HYUNDAI,2021,6325000,13000,PETROL,,
CULTUS AGS,SUZUKI,2017,1775000,49000,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2021,9175000,15000,DIESEL,,
CITY 1.5 MT,HONDA,2018,2450000,24500,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2015,2700000,105000,PETROL,,
BRV IVTEC CVT,HONDA,2018,2980000,37000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2021,6050000,10000,PETROL,,
REVO G MT,TOYOTA,2015,4500000,96000,DIESEL,,
REVO G AT,TOYOTA,2018,6525000,12000,DIESEL,,
CULTUS VXL,SUZUKI,2017,1600000,56000,PETROL,,
BRV IVTEC S CVT,HONDA,2017,2950000,64000,PETROL,,
ALTO VX,SUZUKI,2019,1500000,23000,PETROL,,
ALTO VXR AGS,SUZUKI,2017,1500000,63000,PETROL,,
CITY 1.3 MT,HONDA,2014,1750000,76000,PETROL,,
YARIS 1.5 MT,TOYOTA,2020,2975000,17000,PETROL,,
CULTUS VXR,SUZUKI,2021,1950000,8100,PETROL,,
YARIS 1.3 AT,TOYOTA,2020,2800000,13000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2019,4325000,38000,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,9200,PETROL,,
CIVIC 1.8 IVTEC,HONDA,2021,4400000,8600,PETROL,,
YARIS 1.5 AT,TOYOTA,2021,3350000,7000,PETROL,,
SPORTAGE AWD,KIA,2021,5725000,5600,PETROL,,
COROLLA ALTIS,TOYOTA,2017,2900000,39500,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4225000,5000,PETROL,,
CULTUS AGS,SUZUKI,2021,2375000,4500,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2550000,20000,PETROL,,
BRV IVTEC MT,HONDA,2019,2825000,30000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4150000,10000,PETROL,,
ALTO VXR,SUZUKI,2019,1500000,20000,PETROL,,
CULTUS VXR,SUZUKI,2014,1050000,118000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2012,1750000,127000,PETROL,,
PICANTO 1.0 AT,KIA,2019,2225000,16500,PETROL,,
CULTUS VXL,SUZUKI,2019,2050000,26000,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2019,8300000,23000,DIESEL,,
ALTO VXR,SUZUKI,2020,1575000,19000,PETROL,,
CITY 1.5 MT,HONDA,2020,2525000,11500,PETROL,,
CIAZ 1.4 AT,SUZUKI,2018,2375000,46000,PETROL,,
BRV IVTEC CVT,HONDA,2019,,17500,PETROL,,
COROLLA GLI,TOYOTA,2012,1700000,112000,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2020,6225000,12900,PETROL,,
CITY 1.5 ASPIRE,HONDA,2020,2950000,135000,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,4800,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2575000,13000,PETROL,,
SPORTAGE FWD,KIA,2020,5100000,23000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4150000,11000,PETROL,,
FORTUNER 2.7,TOYOTA,2019,9500000,17000,PETROL,,
PICANTO 1.0 MT,KIA,2020,2075000,37000,PETROL,,
YARIS 1.5 AT,TOYOTA,2020,3000000,14000,PETROL,,
ALTO VXR,SUZUKI,2019,1490000,41000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2021,5500000,24000,PETROL,,
